@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
21,'2017/07/23 11:19:03:332',1,75.587166,797.527588,2688.230225,82.954964,586.029175,2675.489014,-68.093697,578.894531,2669.17334,-68.093529,296.609283,2669.17334,-68.093124,14.324097,2669.170166,234.003632,593.163818,2681.804688,234.003464,310.878571,2681.804688,234.004318,28.593384,2681.804688,93.721115,371.184937,2660.702148,5.062881,151.64444,2641.758301,9.022099,-266.734863,2748.094727,7.002981,-600.948242,2656.146729,203.911652,161.036896,2650.072266,156.540878,-254.155396,2758.481201,174.463928,-606.517944,2692.31958,0,?
22,'2017/07/23 11:19:03:364',1,73.787773,796.372681,2697.850342,82.156021,585.243347,2680.456055,-68.925659,578.047729,2675.08374,-68.925491,295.762482,2675.08374,-68.925156,13.477295,2675.080811,233.237701,592.439026,2685.828369,233.237534,310.153778,2685.828369,233.238388,27.868591,2685.828369,93.061325,370.776917,2661.026855,4.5238,151.574265,2638.061523,10.342941,-266.229126,2746.57666,7.185607,-603.114136,2650.455566,203.409454,161.046677,2645.133789,156.587067,-254.672073,2751.753906,176.408447,-607.465027,2687.517334,0,?
23,'2017/07/23 11:19:03:399',1,73.82869,796.985657,2693.123291,80.908905,586.259338,2677.714844,-70.312836,580.980103,2674.515625,-70.312668,298.694855,2674.515625,-70.312401,16.409668,2674.513184,232.130646,591.538574,2680.914063,232.130478,309.253326,2680.914063,232.131332,26.96814,2680.914063,88.776802,371.495911,2660.203613,-2.894556,153.257523,2640.586426,2.905731,-264.701904,2748.549805,1.960291,-600.258911,2658.105957,196.183945,160.207474,2644.79834,149.304443,-253.175797,2759.808594,170.735321,-607.010498,2692.894531,0,?
24,'2017/07/23 11:19:03:432',1,73.209114,795.673035,2690.30249,81.358643,584.414612,2676.062744,-69.782806,577.946899,2671.550537,-69.782639,295.661652,2671.550537,-69.782471,13.376465,2671.54834,232.500092,590.882385,2680.574951,232.499924,308.597137,2680.574951,232.500778,26.311951,2680.574951,91.02121,369.587463,2660.332031,1.211383,150.503616,2641.631592,13.9575,-267.304749,2749.38501,12.760238,-605.13678,2657.83252,200.156174,159.016983,2647.571045,160.021561,-255.889938,2759.532227,182.449951,-612.177002,2696.869629,0,?
25,'2017/07/23 11:19:03:464',1,73.187538,796.153809,2688.894775,81.077866,584.679688,2674.869629,-70.044022,578.226563,2669.743652,-70.043854,295.941315,2669.743652,-70.043755,13.656128,2669.741699,232.199753,591.132874,2679.995605,232.199585,308.847626,2679.995605,232.200439,26.562439,2679.995605,90.766098,369.811218,2659.742676,0.990094,150.695435,2641.241943,13.365638,-268.222443,2744.676514,8.624352,-600.889038,2655.503662,199.918564,159.190002,2647.989502,156.165619,-255.155212,2760.825928,177.996292,-607.712769,2692.477539,0,?
26,'2017/07/23 11:19:03:500',1,72.049614,798.051208,2689.17627,80.379021,586.520081,2675.05127,-70.744118,579.869629,2670.242188,-70.74395,297.584381,2670.242188,-70.743919,15.299194,2670.240234,231.502151,593.170532,2679.860352,231.501984,310.885284,2679.860352,231.502838,28.600098,2679.860352,90.321266,371.678345,2659.722656,0.789911,152.459091,2641.228516,11.404109,-265.295166,2749.437012,8.225326,-598.154114,2655.447266,199.737106,161.214157,2647.55957,156.507004,-254.153732,2756.859863,177.425323,-607.798096,2691.635498,0,?
27,'2017/07/23 11:19:03:532',1,72.400177,797.916748,2689.320557,80.252548,586.348145,2675.278564,-70.882568,579.969177,2670.497803,-70.882401,297.683929,2670.497803,-70.882416,15.398743,2670.496094,231.387665,592.727051,2680.059326,231.387497,310.441803,2680.059326,231.388351,28.156616,2680.059326,89.820358,371.527191,2659.44165,-0.098342,152.507217,2640.457764,9.699262,-265.273865,2748.753662,7.845448,-602.797485,2654.469971,198.87468,160.905289,2646.751709,155.008759,-255.291641,2752.636719,177.960861,-609.580261,2690.191895,0,?
28,'2017/07/23 11:19:03:563',1,71.053986,795.897339,2689.418945,79.741287,584.951599,2675.751709,-71.299423,577.448486,2669.786621,-71.299255,295.163239,2669.786621,-71.299271,12.878052,2669.785156,230.781998,592.454712,2681.716797,230.78183,310.169464,2681.716797,230.782684,27.884277,2681.716797,90.996231,370.138367,2660.966797,2.823994,150.385956,2642.255127,13.338801,-266.647461,2753.348389,10.754449,-606.905029,2656.888916,201.67836,160.264313,2650.108643,159.110794,-255.96225,2756.480225,180.681458,-607.165161,2694.825439,0,?
29,'2017/07/23 11:19:03:600',1,69.537758,793.384033,2679.943115,79.026672,582.149719,2670.691895,-72.000443,574.406311,2664.705322,-72.000275,292.121063,2664.705322,-72.00029,9.835876,2664.703857,230.053772,589.893127,2676.678467,230.053604,307.60788,2676.678467,230.054459,25.322693,2676.678467,90.482323,367.113861,2659.831055,2.523698,146.98085,2645.029541,9.777048,-271.886047,2749.017822,9.114956,-606.682373,2658.820801,201.352264,157.175125,2652.910889,157.127533,-260.079285,2754.38208,175.622467,-609.23291,2696.048096,0,?
30,'2017/07/23 11:19:03:631',1,69.522964,797.66571,2683.673096,77.476196,586.452026,2672.541992,-73.661972,580.945374,2666.90918,-73.661804,298.660126,2666.90918,-73.661819,16.374939,2666.907959,228.614365,591.958679,2678.174805,228.614197,309.673431,2678.174805,228.615051,27.388245,2678.174805,85.790146,371.380737,2659.716797,-5.387084,152.684525,2643.183594,3.46828,-267.216614,2742.861816,-0.201873,-596.845398,2653.685547,193.595276,159.934402,2650.599609,149.563934,-258.384766,2747.666504,168.707123,-602.723206,2688.822021,0,?
